X,Y
2.7e-05,1.2e-05
2.7e-05,1.5e-05
2.7e-05,1.8e-05
2.7e-05,2.1e-05
2.7e-05,2.4e-05
2.7e-05,2.7e-05
2.7e-05,3e-05
2.7e-05,3.3e-05
2.7e-05,3.6e-05
2.7e-05,3.9e-05
2.7e-05,4.2e-05
2.7e-05,4.5e-05
2.7e-05,4.8e-05
2.7e-05,5.1e-05
2.7e-05,5.4e-05
2.7e-05,5.7e-05
2.7e-05,6e-05
2.7e-05,6.3e-05
2.7e-05,6.6e-05
2.7e-05,6.9e-05
2.7e-05,7.2e-05
2.7e-05,7.5e-05
2.7e-05,7.8e-05
2.7e-05,8.1e-05
2.7e-05,8.4e-05
2.7e-05,8.7e-05
2.7e-05,9e-05
2.7e-05,9.3e-05
2.7e-05,9.6e-05
2.7e-05,9.9e-05
2.7e-05,0.000102
2.7e-05,0.000105
2.7e-05,0.000108
2.7e-05,0.000111
2.7e-05,0.000114
2.7e-05,0.000117
2.7e-05,0.00012
2.7e-05,0.000123
2.7e-05,0.000126
2.7e-05,0.000129
2.7e-05,0.000132
2.7e-05,0.000135
2.7e-05,0.000138
2.7e-05,0.000141
2.7e-05,0.000144
2.7e-05,0.000147
2.7e-05,0.00015
3e-05,3e-06
3e-05,6e-06
3e-05,9e-06
3e-05,1.2e-05
3e-05,1.5e-05
3e-05,1.8e-05
3e-05,2.1e-05
3e-05,2.4e-05
3e-05,2.7e-05
3e-05,3e-05
3e-05,3.3e-05
3e-05,3.6e-05
3e-05,3.9e-05
3e-05,4.2e-05
3e-05,4.5e-05
3e-05,4.8e-05
3e-05,5.1e-05
3e-05,5.4e-05
3e-05,5.7e-05
3e-05,6e-05
3e-05,6.3e-05
3e-05,6.6e-05
3e-05,6.9e-05
3e-05,7.2e-05
3e-05,7.5e-05
3e-05,7.8e-05
3e-05,8.1e-05
3e-05,8.4e-05
3e-05,8.7e-05
3e-05,9e-05
3e-05,9.3e-05
3e-05,9.6e-05
3e-05,9.9e-05
3e-05,0.000102
3e-05,0.000105
3e-05,0.000108
3e-05,0.000111
3e-05,0.000114
3e-05,0.000117
3e-05,0.00012
3e-05,0.000123
3e-05,0.000126
3e-05,0.000129
3e-05,0.000132
3e-05,0.000135
3e-05,0.000138
3e-05,0.000141
3e-05,0.000144
3e-05,0.000147
3e-05,0.00015
3.3e-05,3e-06
3.3e-05,6e-06
3.3e-05,9e-06
3.3e-05,1.2e-05
3.3e-05,1.5e-05
3.3e-05,1.8e-05
3.3e-05,2.1e-05
3.3e-05,2.4e-05
3.3e-05,2.7e-05
3.3e-05,3e-05
3.3e-05,3.3e-05
3.3e-05,3.6e-05
3.3e-05,3.9e-05
3.3e-05,4.2e-05
3.3e-05,4.5e-05
3.3e-05,4.8e-05
3.3e-05,5.1e-05
3.3e-05,5.4e-05
3.3e-05,5.7e-05
3.3e-05,6e-05
3.3e-05,6.3e-05
3.3e-05,6.6e-05
3.3e-05,6.9e-05
3.3e-05,7.2e-05
3.3e-05,7.5e-05
3.3e-05,7.8e-05
3.3e-05,8.1e-05
3.3e-05,8.4e-05
3.3e-05,8.7e-05
3.3e-05,9e-05
3.3e-05,9.3e-05
3.3e-05,9.6e-05
3.3e-05,9.9e-05
3.3e-05,0.000102
3.3e-05,0.000105
3.3e-05,0.000108
3.3e-05,0.000111
3.3e-05,0.000114
3.3e-05,0.000117
3.3e-05,0.00012
3.3e-05,0.000123
3.3e-05,0.000126
3.3e-05,0.000129
3.3e-05,0.000132
3.3e-05,0.000135
3.3e-05,0.000138
3.3e-05,0.000141
3.3e-05,0.000144
3.3e-05,0.000147
3.3e-05,0.00015
3.6e-05,3e-06
3.6e-05,6e-06
3.6e-05,9e-06
3.6e-05,1.2e-05
3.6e-05,1.5e-05
3.6e-05,1.8e-05
3.6e-05,2.1e-05
3.6e-05,2.4e-05
3.6e-05,2.7e-05
3.6e-05,3e-05
3.6e-05,3.3e-05
3.6e-05,3.6e-05
3.6e-05,3.9e-05
3.6e-05,4.2e-05
3.6e-05,4.5e-05
3.6e-05,4.8e-05
3.6e-05,5.1e-05
3.6e-05,5.4e-05
3.6e-05,5.7e-05
3.6e-05,6e-05
3.6e-05,6.3e-05
3.6e-05,6.6e-05
3.6e-05,6.9e-05
3.6e-05,7.2e-05
3.6e-05,7.5e-05
3.6e-05,7.8e-05
3.6e-05,8.1e-05
3.6e-05,8.4e-05
3.6e-05,8.7e-05
3.6e-05,9e-05
3.6e-05,9.3e-05
3.6e-05,9.6e-05
3.6e-05,9.9e-05
3.6e-05,0.000102
3.6e-05,0.000105
3.6e-05,0.000108
3.6e-05,0.000111
3.6e-05,0.000114
3.6e-05,0.000117
3.6e-05,0.00012
3.6e-05,0.000123
3.6e-05,0.000126
3.6e-05,0.000129
3.6e-05,0.000132
3.6e-05,0.000135
3.6e-05,0.000138
3.6e-05,0.000141
3.6e-05,0.000144
3.6e-05,0.000147
3.6e-05,0.00015
3.9e-05,3e-06
3.9e-05,6e-06
3.9e-05,9e-06
3.9e-05,1.2e-05
3.9e-05,1.5e-05
3.9e-05,1.8e-05
3.9e-05,2.1e-05
3.9e-05,2.4e-05
3.9e-05,2.7e-05
3.9e-05,3e-05
3.9e-05,3.3e-05
3.9e-05,3.6e-05
3.9e-05,3.9e-05
3.9e-05,4.2e-05
3.9e-05,4.5e-05
3.9e-05,4.8e-05
